1.016,1.013,0.764,0.788,0.86,0.922,0.943,0.955,0.963,0.942,0.951,0.925,0.932,0.954,0.974,0.981,1,1
1.016,1.013,0.764,0.788,0.86,0.922,0.943,0.955,0.963,0.942,0.951,0.925,0.932,0.954,0.974,0.981,1,1
1.016,1.013,0.764,0.788,0.86,0.922,0.943,0.955,0.963,0.942,0.951,0.925,0.932,0.954,0.974,0.981,1,1
1.08,1.051,0.894,0.899,0.913,0.934,0.952,0.969,0.968,0.962,0.948,0.935,0.923,0.924,0.936,0.949,1,1
0.965,0.963,0.884,0.906,0.975,0.948,0.912,0.888,0.895,0.856,0.892,0.858,0.838,0.861,0.726,0.753,1,1
0.965,0.963,0.884,0.906,0.975,0.948,0.912,0.888,0.895,0.856,0.892,0.858,0.838,0.861,0.726,0.753,1,1
0.965,0.963,0.884,0.906,0.975,0.948,0.912,0.888,0.895,0.856,0.892,0.858,0.838,0.861,0.726,0.753,1,1
0.965,0.963,0.884,0.906,0.975,0.948,0.912,0.888,0.895,0.856,0.892,0.858,0.838,0.861,0.726,0.753,1,1
0.965,0.963,0.884,0.906,0.975,0.948,0.912,0.888,0.895,0.856,0.892,0.858,0.838,0.861,0.726,0.753,1,1
0.965,0.963,0.884,0.906,0.975,0.948,0.912,0.888,0.895,0.856,0.892,0.858,0.838,0.861,0.726,0.753,1,1
0.965,0.963,0.884,0.906,0.975,0.948,0.912,0.888,0.895,0.856,0.892,0.858,0.838,0.861,0.726,0.753,1,1
0.965,0.963,0.884,0.906,0.975,0.948,0.912,0.888,0.895,0.856,0.892,0.858,0.838,0.861,0.726,0.753,1,1
0.965,0.963,0.884,0.906,0.975,0.948,0.912,0.888,0.895,0.856,0.892,0.858,0.838,0.861,0.726,0.753,1,1
0.965,0.963,0.884,0.906,0.975,0.948,0.912,0.888,0.895,0.856,0.892,0.858,0.838,0.861,0.726,0.753,1,1
0.965,0.963,0.884,0.906,0.975,0.948,0.912,0.888,0.895,0.856,0.892,0.858,0.838,0.861,0.726,0.753,1,1
0.965,0.963,0.884,0.906,0.975,0.948,0.912,0.888,0.895,0.856,0.892,0.858,0.838,0.861,0.726,0.753,1,1
0.965,0.963,0.884,0.906,0.975,0.948,0.912,0.888,0.895,0.856,0.892,0.858,0.838,0.861,0.726,0.753,1,1
0.965,0.963,0.884,0.906,0.975,0.948,0.912,0.888,0.895,0.856,0.892,0.858,0.838,0.861,0.726,0.753,1,1
0.965,0.963,0.884,0.906,0.975,0.948,0.912,0.888,0.895,0.856,0.892,0.858,0.838,0.861,0.726,0.753,1,1
0.965,0.963,0.884,0.906,0.975,0.948,0.912,0.888,0.895,0.856,0.892,0.858,0.838,0.861,0.726,0.753,1,1
0.965,0.963,0.884,0.906,0.975,0.948,0.912,0.888,0.895,0.856,0.892,0.858,0.838,0.861,0.726,0.753,1,1
0.965,0.963,0.884,0.906,0.975,0.948,0.912,0.888,0.895,0.856,0.892,0.858,0.838,0.861,0.726,0.753,1,1
